austenitizing_temp_C,section_thickness_mm,quench_medium,tempering_temp_C,tempering_time_hr,hardness_HRC,UTS_MPa,YS_MPa,elongation_pct,reduction_of_area_pct,source
845.8,75.0,oil,473.9,2.0,32.3,997.2,779.3,20.0,48.8,physics_model
870.9,75.0,water,250.0,4.0,50.9,1661.1,1412.7,12.4,29.7,physics_model
863.2,150.0,oil,458.0,1.0,32.6,1118.4,777.7,20.0,42.1,physics_model
843.6,50.0,oil,504.2,0.5,30.5,978.0,801.0,22.2,47.7,physics_model
834.6,100.0,oil,353.3,0.5,46.3,1460.8,1236.0,14.5,38.5,physics_model
871.4,75.0,air,504.7,0.5,31.2,979.6,774.7,21.8,49.7,physics_model
868.7,13.0,air,638.4,0.5,19.8,796.1,519.7,26.3,48.2,physics_model
841.4,25.0,oil,461.0,2.0,32.5,1039.2,792.9,19.7,49.5,physics_model
863.4,75.0,oil,655.8,4.0,17.0,723.4,504.1,26.4,55.5,physics_model
859.2,50.0,oil,458.7,0.5,35.6,1091.2,870.8,18.2,48.9,physics_model
871.9,75.0,air,266.4,1.0,41.1,1230.8,998.8,16.9,39.9,physics_model
866.9,50.0,oil,232.5,4.0,51.7,1681.8,1468.4,11.9,31.0,physics_model
828.2,50.0,oil,626.3,2.0,19.2,777.8,501.2,22.9,57.2,physics_model
870.5,25.0,water,400.1,0.5,41.7,1276.0,1068.5,16.7,40.0,physics_model
841.4,25.0,oil,563.8,4.0,21.5,768.8,557.0,23.8,53.4,physics_model
859.4,13.0,water,403.0,4.0,35.6,1191.9,919.8,18.8,45.4,physics_model
831.7,50.0,oil,354.2,0.5,44.9,1395.4,1229.5,15.5,35.3,physics_model
864.7,50.0,air,640.2,4.0,18.0,741.3,495.8,22.6,51.2,physics_model
841.0,75.0,oil,488.8,2.0,29.5,931.8,735.4,22.4,55.7,physics_model
841.1,100.0,oil,598.0,1.0,22.2,796.1,547.5,23.6,56.3,physics_model
846.8,75.0,oil,622.2,1.0,19.7,729.3,515.2,23.5,48.4,physics_model
870.1,50.0,oil,217.7,0.5,53.5,1786.8,1646.0,9.8,26.6,physics_model
849.7,50.0,oil,327.2,0.5,47.5,1529.8,1288.9,13.0,31.9,physics_model
851.4,100.0,oil,308.5,1.0,48.3,1487.3,1284.9,14.9,34.4,physics_model
849.8,13.0,water,277.3,0.5,51.0,1658.8,1464.8,12.2,32.2,physics_model
835.5,13.0,oil,235.5,2.0,52.0,1630.0,1520.8,12.0,32.2,physics_model
871.4,100.0,oil,309.7,4.0,46.7,1582.7,1334.7,15.5,34.0,physics_model
850.4,100.0,oil,428.9,1.0,36.2,1198.0,931.2,17.1,44.5,physics_model
833.5,75.0,oil,503.0,2.0,28.9,941.1,652.7,22.4,50.4,physics_model
853.5,75.0,water,235.2,4.0,51.6,1652.1,1486.6,11.1,28.1,physics_model
846.3,75.0,oil,218.4,2.0,52.7,1817.4,1559.4,10.3,27.0,physics_model
860.9,100.0,oil,327.9,4.0,44.6,1416.7,1199.8,15.2,36.2,physics_model
843.4,50.0,water,506.1,1.0,28.2,968.2,676.5,21.5,53.6,physics_model
845.9,50.0,water,505.1,1.0,28.3,997.5,640.6,22.6,53.9,physics_model
843.1,100.0,air,656.3,1.0,18.8,755.5,508.2,25.6,64.3,physics_model
845.4,50.0,air,428.2,1.0,36.9,1178.9,931.6,19.1,45.0,physics_model
831.8,50.0,oil,296.5,0.5,48.6,1623.1,1361.8,13.4,30.2,physics_model
829.0,50.0,oil,207.8,1.0,52.7,1793.2,1482.6,9.2,27.8,physics_model
841.5,100.0,air,252.9,4.0,39.8,1241.1,997.0,17.8,43.8,physics_model
846.4,13.0,oil,383.0,2.0,39.4,1284.3,1021.7,18.6,39.9,physics_model
859.5,25.0,oil,251.6,4.0,48.9,1744.7,1415.9,13.7,30.7,physics_model
846.4,25.0,oil,504.7,1.0,29.3,945.3,732.1,23.6,53.5,physics_model
859.0,25.0,oil,222.3,4.0,52.2,1707.8,1519.5,12.4,29.0,physics_model
863.5,50.0,oil,279.9,4.0,48.2,1665.5,1375.2,13.7,31.3,physics_model
863.5,13.0,air,205.6,1.0,38.6,1363.0,1078.2,16.7,41.1,physics_model
836.0,100.0,oil,597.5,0.5,23.6,798.4,559.6,26.0,52.3,physics_model
831.2,100.0,oil,294.6,4.0,46.4,1536.3,1308.8,12.7,33.9,physics_model
843.5,50.0,oil,564.4,2.0,22.7,848.6,559.4,22.4,56.4,physics_model
854.9,75.0,air,443.1,1.0,35.3,1156.4,886.7,20.5,42.3,physics_model
862.0,100.0,oil,548.8,2.0,24.2,892.6,638.7,25.5,52.6,physics_model
835.0,100.0,air,355.9,1.0,40.5,1258.2,1021.6,18.2,41.2,physics_model
866.1,25.0,water,551.0,0.5,26.2,898.4,636.2,22.6,53.3,physics_model
868.8,150.0,oil,447.7,2.0,34.2,1012.0,826.9,20.4,49.3,physics_model
850.7,50.0,oil,447.3,1.0,34.0,1152.1,845.8,20.9,47.4,physics_model
865.0,75.0,oil,578.5,1.0,22.3,819.6,590.6,22.6,54.7,physics_model
871.1,100.0,oil,488.4,1.0,30.4,1006.2,756.5,21.7,50.0,physics_model
841.3,25.0,water,457.0,0.5,34.8,1089.8,883.7,21.5,45.5,physics_model
854.6,13.0,air,322.9,0.5,41.2,1367.7,1172.3,16.5,43.4,physics_model
871.2,13.0,oil,416.0,4.0,35.1,1096.0,840.0,20.3,44.6,physics_model
840.7,75.0,water,208.0,4.0,53.8,1764.6,1649.4,11.1,29.8,physics_model
839.7,50.0,oil,369.1,2.0,42.1,1358.0,1031.2,16.1,42.7,physics_model
841.2,100.0,oil,292.9,4.0,46.3,1550.7,1368.9,13.5,34.8,physics_model
848.0,13.0,oil,592.2,4.0,19.3,776.9,564.5,24.5,54.1,physics_model
859.5,50.0,oil,491.5,0.5,32.1,1050.1,785.0,20.7,50.7,physics_model
832.0,50.0,oil,654.7,2.0,17.4,751.8,497.6,27.3,48.9,physics_model
855.6,25.0,oil,310.4,2.0,46.3,1481.5,1398.9,15.7,34.2,physics_model
869.9,75.0,oil,326.5,1.0,46.5,1427.9,1231.9,14.6,36.1,physics_model
835.3,25.0,water,592.0,0.5,22.9,799.8,574.3,24.4,55.1,physics_model
829.9,50.0,air,413.3,0.5,38.5,1332.9,964.2,16.9,45.1,physics_model
844.7,25.0,oil,237.2,0.5,52.6,1723.5,1514.0,10.3,31.9,physics_model
868.8,75.0,water,217.6,4.0,53.4,1675.8,1442.5,9.5,27.2,physics_model
871.3,100.0,oil,262.3,4.0,50.0,1662.9,1452.1,12.1,32.7,physics_model
871.9,25.0,oil,447.8,1.0,35.0,1120.3,870.8,19.0,46.0,physics_model
833.4,25.0,water,204.2,2.0,51.1,1762.1,1646.7,10.5,27.2,physics_model
859.3,50.0,oil,654.8,2.0,17.9,756.1,484.9,24.2,57.9,physics_model
848.7,13.0,water,653.3,1.0,18.8,749.3,506.9,24.8,53.1,physics_model
835.7,75.0,oil,504.4,4.0,27.5,920.6,641.0,22.9,49.8,physics_model
868.1,75.0,water,265.0,4.0,49.3,1668.7,1410.7,12.8,29.9,physics_model
870.3,50.0,oil,506.6,0.5,29.6,924.5,738.7,22.8,45.4,physics_model
865.4,25.0,water,457.6,1.0,32.9,1109.1,854.2,20.0,40.9,physics_model
869.5,50.0,oil,251.8,0.5,51.4,1693.6,1539.7,11.7,32.2,physics_model
869.9,75.0,water,461.0,0.5,34.7,1114.0,811.3,20.3,48.2,physics_model
868.6,25.0,oil,427.6,1.0,37.0,1210.7,933.2,19.5,48.4,physics_model
856.5,75.0,oil,369.6,1.0,42.7,1381.4,1097.5,15.4,43.7,physics_model
834.2,100.0,air,387.6,0.5,39.9,1236.5,1049.4,19.5,42.2,physics_model
830.3,150.0,oil,562.4,1.0,23.5,810.5,619.3,23.1,53.9,physics_model
836.5,13.0,water,447.9,4.0,32.5,1060.7,746.6,20.9,48.6,physics_model
846.6,75.0,air,399.9,2.0,39.3,1218.7,971.7,16.4,43.0,physics_model
861.1,13.0,oil,295.7,4.0,47.6,1513.0,1327.9,12.4,37.7,physics_model
846.7,75.0,air,217.3,0.5,40.6,1287.0,1027.7,16.8,42.4,physics_model
840.5,75.0,oil,430.7,4.0,35.5,1047.1,879.2,21.9,44.4,physics_model
846.8,50.0,oil,355.2,4.0,42.5,1357.5,1148.8,16.9,37.9,physics_model
865.9,25.0,oil,533.1,4.0,24.0,835.8,569.8,23.9,52.6,physics_model
839.9,150.0,oil,622.4,1.0,21.1,749.3,557.1,24.4,55.6,physics_model
831.6,50.0,oil,536.9,0.5,28.5,921.4,659.7,24.6,50.7,physics_model
859.4,75.0,water,567.8,2.0,22.0,807.4,584.5,25.4,53.7,physics_model
848.9,50.0,water,353.2,0.5,46.7,1445.5,1112.4,15.0,36.5,physics_model
828.6,150.0,oil,385.2,1.0,41.7,1316.9,1076.3,17.9,38.9,physics_model
863.6,50.0,oil,307.8,1.0,47.9,1530.2,1280.2,13.3,32.0,physics_model
856.3,100.0,oil,398.4,4.0,35.8,1248.1,956.8,18.5,44.8,physics_model
869.3,100.0,oil,369.6,0.5,42.8,1434.8,1073.9,14.3,38.6,physics_model
845.6,50.0,water,490.7,4.0,28.6,932.4,678.9,21.9,53.3,physics_model
859.9,13.0,oil,430.4,1.0,37.0,1205.3,878.1,21.5,42.3,physics_model
834.1,50.0,oil,489.1,4.0,27.7,919.8,700.1,22.9,46.6,physics_model
861.2,25.0,oil,622.8,4.0,18.2,741.2,487.7,23.6,53.7,physics_model
854.7,25.0,oil,521.7,1.0,27.4,937.4,672.1,20.6,47.7,physics_model
857.0,75.0,oil,295.1,0.5,46.8,1649.5,1365.4,12.7,29.6,physics_model
838.8,25.0,oil,402.2,1.0,39.5,1251.2,980.6,18.3,43.0,physics_model
843.8,50.0,oil,383.7,1.0,40.9,1324.9,1060.9,16.7,41.0,physics_model
833.5,25.0,air,428.3,1.0,36.7,1114.5,932.5,18.2,45.6,physics_model
843.8,100.0,air,492.1,4.0,27.3,980.7,689.4,23.9,47.6,physics_model
871.5,50.0,oil,656.9,2.0,17.7,693.9,507.6,22.9,55.9,physics_model
849.6,75.0,water,638.5,4.0,18.1,762.1,491.5,24.8,51.4,physics_model
850.9,150.0,air,264.1,4.0,39.9,1266.5,1083.9,19.0,40.2,physics_model
841.3,75.0,oil,416.3,0.5,38.6,1229.8,1040.9,17.3,43.6,physics_model
859.6,13.0,air,596.5,0.5,22.8,824.6,547.3,23.2,50.3,physics_model
844.0,100.0,oil,387.8,0.5,43.3,1320.6,1099.0,14.4,40.3,physics_model
835.6,50.0,oil,206.9,4.0,52.6,1649.5,1600.7,10.6,26.9,physics_model
859.3,150.0,oil,337.5,0.5,46.2,1434.6,1233.6,16.1,37.5,physics_model
840.1,75.0,water,384.1,1.0,40.7,1262.0,1060.7,16.2,40.7,physics_model
861.4,25.0,oil,642.1,2.0,18.1,743.8,510.7,24.3,58.0,physics_model
854.2,150.0,oil,310.3,1.0,46.3,1631.2,1426.4,12.9,34.2,physics_model
855.7,100.0,oil,549.5,1.0,24.8,842.1,638.5,22.0,59.7,physics_model
829.9,100.0,oil,237.6,2.0,52.2,1652.1,1521.5,10.6,31.8,physics_model
844.9,75.0,air,354.8,1.0,39.1,1338.0,987.4,17.7,43.1,physics_model
854.7,13.0,water,442.2,2.0,33.9,1088.2,837.9,19.5,45.4,physics_model
835.6,25.0,oil,323.4,4.0,43.0,1464.9,1205.9,15.2,38.6,physics_model
864.1,25.0,oil,520.5,1.0,26.4,948.8,696.8,23.2,50.2,physics_model
843.8,150.0,oil,503.8,4.0,27.1,935.0,692.2,21.6,50.8,physics_model
869.3,25.0,oil,235.0,2.0,50.9,1738.8,1503.2,12.3,28.2,physics_model
848.8,13.0,water,653.4,1.0,18.3,760.2,487.8,24.4,57.3,physics_model
839.1,75.0,oil,205.5,0.5,53.4,1769.8,1632.6,10.8,26.2,physics_model
858.3,50.0,water,487.1,4.0,28.7,940.9,707.5,21.8,51.0,physics_model
865.9,75.0,oil,640.0,4.0,18.1,765.6,528.9,27.3,51.2,physics_model
830.8,50.0,oil,355.9,1.0,44.6,1361.7,1172.8,14.3,39.0,physics_model
865.4,50.0,oil,278.3,0.5,49.6,1588.0,1470.6,11.8,29.4,physics_model
846.7,25.0,oil,342.7,4.0,42.3,1384.7,1145.5,15.6,39.4,physics_model
833.3,75.0,water,220.7,2.0,51.1,1725.9,1607.7,10.7,26.6,physics_model
861.4,100.0,oil,533.9,2.0,24.4,862.5,601.7,24.5,54.1,physics_model
861.8,50.0,water,252.2,0.5,50.2,1726.1,1455.6,10.8,28.3,physics_model
835.8,25.0,air,442.5,0.5,36.4,1144.0,885.8,18.2,48.9,physics_model
834.3,25.0,water,537.1,2.0,25.0,895.8,592.3,22.9,50.8,physics_model
858.6,50.0,oil,277.3,2.0,48.8,1631.9,1392.9,12.5,33.6,physics_model
838.1,25.0,oil,340.9,1.0,45.1,1368.9,1223.0,16.5,37.5,physics_model
859.5,100.0,oil,292.1,2.0,48.4,1587.2,1314.0,12.7,31.2,physics_model
863.1,150.0,oil,308.7,4.0,45.6,1508.2,1255.9,14.0,39.5,physics_model
845.2,50.0,oil,567.9,1.0,23.0,844.8,570.4,25.4,54.7,physics_model
834.9,150.0,oil,297.7,0.5,49.4,1623.6,1390.9,12.3,33.4,physics_model
861.9,75.0,oil,612.2,2.0,19.7,743.5,536.8,20.8,55.5,physics_model
868.7,150.0,oil,294.4,0.5,49.5,1660.6,1379.4,13.5,30.6,physics_model
849.4,50.0,water,414.2,1.0,37.2,1184.7,990.0,19.0,43.3,physics_model
860.0,13.0,oil,641.5,0.5,19.7,779.7,537.8,23.9,49.9,physics_model
847.0,100.0,oil,445.1,0.5,36.5,1151.7,901.3,20.4,44.6,physics_model
853.2,25.0,oil,548.6,0.5,25.1,903.0,617.6,22.9,51.8,physics_model
843.4,25.0,oil,311.5,0.5,47.4,1625.6,1386.3,13.3,32.7,physics_model
836.2,100.0,oil,232.6,4.0,52.0,1793.3,1515.2,10.3,28.8,physics_model
861.2,100.0,oil,442.6,4.0,32.8,1070.2,817.5,21.3,49.5,physics_model
869.7,50.0,water,282.4,1.0,49.4,1669.2,1436.9,12.7,30.7,physics_model
843.6,75.0,oil,474.5,2.0,30.9,1038.0,752.3,24.5,47.9,physics_model
853.6,150.0,oil,461.9,0.5,34.7,1154.2,852.8,19.6,52.3,physics_model
843.2,100.0,oil,277.4,4.0,47.4,1600.5,1365.5,13.7,31.6,physics_model
838.7,150.0,oil,251.3,2.0,51.3,1650.8,1446.4,11.2,32.5,physics_model
858.4,150.0,oil,477.7,4.0,28.4,949.5,690.5,20.6,49.1,physics_model
834.4,75.0,water,402.7,0.5,42.0,1224.1,1042.7,17.3,40.1,physics_model
864.2,75.0,oil,413.5,1.0,38.0,1229.5,906.7,18.2,43.1,physics_model
840.1,50.0,water,205.5,1.0,53.9,1860.6,1585.4,10.0,28.1,physics_model
860.8,50.0,air,562.6,1.0,23.7,832.5,601.2,23.6,52.6,physics_model
865.5,150.0,oil,402.1,4.0,38.6,1149.6,941.6,19.1,45.3,physics_model
859.7,75.0,oil,611.2,1.0,20.4,771.7,521.8,24.4,54.3,physics_model
841.9,25.0,water,473.8,2.0,30.7,1022.4,735.1,19.4,46.9,physics_model
864.3,50.0,oil,460.6,1.0,33.2,1098.3,755.0,19.5,47.2,physics_model
859.1,50.0,oil,250.0,4.0,51.1,1647.0,1473.6,11.3,32.0,physics_model
841.9,25.0,oil,250.4,0.5,51.9,1628.5,1587.3,11.3,31.0,physics_model
860.8,50.0,water,580.4,1.0,22.5,791.1,586.1,25.6,56.8,physics_model
838.2,13.0,water,535.3,0.5,28.1,937.9,660.6,25.2,51.0,physics_model
846.3,13.0,oil,342.3,1.0,46.9,1468.8,1224.8,14.9,37.5,physics_model
844.8,75.0,oil,518.5,1.0,27.8,867.5,691.0,19.5,54.5,physics_model
851.4,100.0,oil,397.1,0.5,41.7,1290.9,1064.8,20.0,42.3,physics_model
830.4,13.0,water,592.1,1.0,22.6,835.7,543.7,23.9,52.1,physics_model
845.4,75.0,water,522.4,4.0,25.7,843.8,573.6,23.5,53.1,physics_model
850.7,150.0,air,430.2,1.0,35.8,1260.4,963.5,20.5,43.6,physics_model
863.5,150.0,oil,547.6,4.0,23.1,828.6,534.1,24.6,51.5,physics_model
871.8,100.0,oil,279.6,2.0,49.2,1611.7,1294.6,13.4,29.8,physics_model
845.3,50.0,oil,415.5,1.0,37.4,1238.5,948.3,19.6,43.8,physics_model
865.2,75.0,oil,563.6,0.5,25.8,864.4,568.4,22.6,50.0,physics_model
835.9,25.0,water,370.5,2.0,41.1,1300.1,1100.7,14.6,36.5,physics_model
838.2,50.0,oil,369.2,0.5,44.3,1374.2,1155.2,17.6,35.3,physics_model
871.8,75.0,oil,282.5,0.5,50.7,1658.4,1464.5,11.6,32.5,physics_model
858.1,50.0,water,552.0,4.0,22.6,818.2,570.0,24.7,51.3,physics_model
864.9,75.0,oil,607.6,0.5,21.6,784.1,536.1,24.0,50.8,physics_model
868.7,25.0,oil,580.8,1.0,22.3,818.6,567.9,24.5,55.1,physics_model
840.5,75.0,oil,427.1,2.0,35.5,1207.0,861.3,19.8,45.1,physics_model
865.0,75.0,oil,443.5,1.0,35.6,1137.8,873.8,20.7,44.0,physics_model
870.2,25.0,oil,252.7,2.0,51.6,1657.3,1532.7,12.3,31.0,physics_model
865.5,13.0,water,250.1,2.0,50.9,1737.5,1460.8,11.4,33.0,physics_model
828.1,150.0,oil,492.0,4.0,27.7,951.9,639.9,22.2,55.2,physics_model
838.3,150.0,oil,354.7,0.5,44.9,1488.6,1180.4,16.3,37.9,physics_model
855.6,150.0,oil,582.5,1.0,22.8,787.5,586.8,24.9,54.9,physics_model
848.9,75.0,water,222.3,1.0,50.3,1748.5,1452.5,10.9,27.8,physics_model
841.4,25.0,water,627.3,4.0,18.5,787.1,534.9,26.7,52.9,physics_model
859.4,75.0,oil,502.5,0.5,29.9,1042.9,747.7,21.5,49.9,physics_model
838.8,50.0,water,371.3,0.5,43.3,1388.5,1162.7,16.4,40.3,physics_model
836.3,50.0,water,237.6,1.0,53.3,1755.5,1429.0,11.8,28.3,physics_model
859.6,50.0,oil,281.8,1.0,50.2,1623.2,1451.9,11.6,29.3,physics_model
854.6,50.0,oil,340.0,2.0,43.6,1463.4,1151.4,17.0,36.2,physics_model
853.6,150.0,oil,506.4,1.0,28.2,1001.8,683.8,22.1,50.3,physics_model
846.5,50.0,air,428.0,4.0,33.8,1147.0,840.4,19.8,47.7,physics_model
859.6,75.0,water,459.8,2.0,33.7,1042.7,836.2,20.3,48.5,physics_model
829.0,25.0,oil,203.4,4.0,52.5,1776.2,1541.2,10.8,26.8,physics_model
869.4,100.0,oil,401.4,0.5,40.4,1279.3,1050.8,16.9,40.4,physics_model
860.2,25.0,oil,459.8,1.0,32.2,1075.1,836.5,22.4,48.0,physics_model
833.7,25.0,oil,653.4,0.5,19.2,725.8,495.1,23.3,55.0,physics_model
858.4,150.0,oil,207.7,0.5,52.3,1756.7,1528.0,11.3,24.9,physics_model
841.5,100.0,oil,294.1,4.0,48.2,1536.5,1315.3,14.0,34.6,physics_model
865.6,13.0,oil,341.2,0.5,47.5,1459.4,1234.0,13.8,35.5,physics_model
861.0,13.0,air,580.5,4.0,21.9,795.5,536.2,23.1,53.8,physics_model
828.2,50.0,oil,473.5,0.5,33.2,1112.4,855.8,21.8,45.8,physics_model
835.8,150.0,oil,400.4,0.5,40.8,1303.7,1089.9,16.1,42.2,physics_model
858.2,100.0,air,656.4,4.0,17.8,759.8,479.1,24.2,50.9,physics_model
864.9,50.0,water,550.9,2.0,23.6,847.6,589.1,27.4,54.4,physics_model
844.8,50.0,oil,550.5,0.5,26.1,926.6,651.9,23.1,51.7,physics_model
841.3,50.0,oil,447.6,4.0,32.0,1032.3,822.2,21.8,49.1,physics_model
833.4,25.0,oil,579.5,0.5,22.9,825.9,579.4,23.8,57.6,physics_model
829.0,13.0,oil,608.6,0.5,21.2,803.3,550.2,24.2,52.6,physics_model
839.3,75.0,oil,352.1,0.5,46.6,1478.5,1167.6,15.1,36.5,physics_model
855.4,75.0,air,537.8,0.5,27.5,949.4,643.9,23.3,50.8,physics_model
842.0,13.0,oil,507.8,2.0,27.2,945.7,691.3,21.7,48.2,physics_model
850.7,75.0,oil,353.5,0.5,44.7,1504.6,1217.4,14.4,39.7,physics_model
865.7,13.0,oil,281.1,2.0,49.3,1571.9,1533.8,12.1,30.5,physics_model
871.5,75.0,water,563.9,1.0,23.3,825.3,559.3,23.8,47.0,physics_model
833.7,100.0,oil,548.9,1.0,25.3,894.7,645.9,23.3,53.1,physics_model
836.7,13.0,oil,292.9,1.0,49.6,1598.0,1345.6,12.5,30.8,physics_model
835.2,25.0,oil,580.4,1.0,23.2,855.9,566.2,23.4,53.7,physics_model
871.3,75.0,water,521.3,2.0,27.1,902.1,596.6,23.4,56.6,physics_model
834.0,13.0,oil,638.0,2.0,18.9,730.6,496.4,24.0,57.9,physics_model
864.9,75.0,water,267.9,0.5,48.9,1751.4,1531.3,11.3,26.3,physics_model
831.1,13.0,oil,442.5,0.5,37.6,1171.4,905.7,19.1,45.0,physics_model
850.8,25.0,air,309.0,0.5,41.4,1300.6,970.1,14.9,38.5,physics_model
844.1,13.0,water,204.3,2.0,54.5,1806.7,1547.4,10.4,25.6,physics_model
835.5,100.0,oil,340.8,0.5,45.1,1485.3,1225.8,14.7,36.3,physics_model
841.7,75.0,oil,292.6,4.0,47.5,1538.8,1329.5,12.7,33.4,physics_model
864.1,25.0,oil,563.5,1.0,23.4,851.9,649.8,22.9,50.9,physics_model
834.8,100.0,oil,446.9,4.0,31.0,1112.7,750.9,20.6,46.6,physics_model
829.1,75.0,oil,296.0,0.5,48.4,1600.0,1403.2,13.5,31.4,physics_model
861.7,75.0,water,282.1,4.0,47.9,1522.3,1424.2,13.7,32.1,physics_model
853.7,25.0,air,297.8,0.5,41.2,1323.0,1060.0,17.7,38.1,physics_model
846.8,25.0,oil,521.3,1.0,27.2,926.6,702.9,22.4,48.6,physics_model
864.1,25.0,oil,624.0,1.0,20.0,813.6,547.3,23.3,52.4,physics_model
856.8,100.0,oil,307.6,4.0,46.3,1484.2,1316.2,14.6,39.8,physics_model
829.5,100.0,oil,478.0,0.5,33.3,1039.6,834.0,20.9,43.6,physics_model
833.7,150.0,oil,279.1,2.0,48.4,1666.0,1368.9,12.0,32.8,physics_model
864.2,150.0,air,247.9,4.0,39.1,1307.3,1064.0,17.0,43.6,physics_model
850.4,13.0,air,506.3,2.0,28.2,949.2,653.1,21.8,52.8,physics_model
860.0,13.0,air,549.9,1.0,25.4,851.8,624.5,25.0,56.6,physics_model
834.2,13.0,oil,475.3,0.5,33.5,1033.9,826.7,20.8,48.7,physics_model
856.7,13.0,water,342.5,4.0,42.5,1399.4,1167.0,15.4,38.7,physics_model
833.4,13.0,oil,281.7,2.0,49.0,1703.0,1374.3,15.3,32.3,physics_model
829.1,25.0,water,221.2,4.0,51.7,1752.7,1545.8,10.5,29.8,physics_model
844.8,50.0,oil,262.6,2.0,50.7,1624.4,1438.0,12.6,32.1,physics_model
